Rotation,Angle (deg),Distance (mm)
359.2,97.7,2760.2
359.2,220.3,231.5
359.2,221.5,238.5
359.2,226.1,260.5
359.2,227.3,268.2
359.2,259.4,0.0
359.2,258.9,3085.2
359.2,260.7,3094.2
359.2,262.6,2290.2
358.8,264.2,3068.2
358.8,266.0,3059.8
358.8,267.9,2146.2
358.8,269.7,2068.5
358.8,271.5,2092.0
358.8,273.2,2115.0
358.8,275.0,2133.0
358.8,276.8,2163.2
358.8,280.3,2326.0
358.8,283.6,3166.5
358.8,285.4,3190.0
358.8,287.2,3232.5
358.8,288.9,3262.0
358.8,290.7,3300.5
358.8,292.5,3335.2
358.8,294.2,3386.5
358.8,296.0,3438.5
358.8,297.7,3499.2
358.8,299.4,3497.0
358.8,301.2,3553.8
358.8,303.0,3623.5
358.8,304.7,3726.8
358.8,306.5,3738.5
358.8,308.3,3586.8
358.8,310.0,3444.2
358.8,311.8,3321.5
358.8,313.6,3219.0
358.8,315.4,3109.2
358.8,317.2,3016.5
358.8,318.9,2935.0
358.8,320.7,2852.2
358.8,322.6,2786.2
358.8,324.4,2731.0
358.8,326.2,2684.8
358.8,328.0,2622.2
358.8,329.7,2575.0
358.8,331.5,2529.0
358.8,333.3,2493.0
358.8,335.1,2458.0
358.8,336.9,2429.2
358.8,338.6,2394.8
358.8,340.4,2369.0
358.8,342.2,2349.0
358.8,344.0,2322.2
358.8,345.7,2297.2
358.8,347.6,2286.5
358.8,349.4,2271.2
358.8,351.2,2263.5
358.8,352.9,2258.0
358.8,354.7,2243.5
358.8,356.5,2242.5
358.8,358.3,2239.8
358.8,0.1,2240.8
358.8,1.8,2252.5
358.8,3.6,2245.2
358.8,5.4,2259.0
358.8,7.1,2259.8
358.8,8.9,2271.8
358.8,10.8,2286.8
358.8,12.5,2314.5
358.8,14.3,2335.0
358.8,16.1,2357.2
358.8,17.8,2387.8
358.8,19.6,2417.8
358.8,21.4,2446.0
358.8,23.2,2477.5
358.8,25.0,2510.8
358.8,26.7,2551.0
358.8,28.5,2608.5
358.8,30.3,2654.2
358.8,32.0,2710.0
358.8,33.8,2761.0
358.8,35.7,2837.0
358.8,37.5,2916.0
358.8,39.2,2996.5
358.8,41.0,3094.2
358.8,42.8,3191.0
358.8,44.6,3293.5
358.8,46.3,3397.0
358.8,48.2,3362.2
358.8,50.0,3277.5
358.8,51.8,3181.0
358.8,53.6,3100.8
358.8,55.4,3039.5
358.8,57.2,3001.2
358.8,59.0,3077.5
358.8,60.8,3106.0
358.8,62.6,3053.8
358.8,64.4,2994.2
358.8,66.2,2958.8
358.8,68.0,2910.8
358.8,69.8,2886.0
358.8,71.6,2861.8
358.8,73.4,2813.5
358.8,75.2,2793.0
358.8,77.0,2789.2
358.8,78.8,2747.8
358.8,80.6,2743.8
358.8,82.5,2740.5
358.8,84.3,2708.2
358.8,86.1,2707.2
358.8,87.9,2710.8
358.8,89.8,2717.0
358.8,91.5,2703.2
358.8,93.4,2713.5
358.8,95.1,2739.5
358.8,97.0,2734.8
358.8,98.8,2744.0
358.8,100.6,2713.2
358.8,102.5,2395.0
358.8,104.3,2124.2
358.8,106.2,1905.0
358.8,130.1,277.0
358.8,132.4,265.0
358.8,135.6,255.8
358.8,136.6,249.2
358.8,220.1,231.5
358.8,225.7,256.2
358.8,226.5,267.5
358.8,260.0,0.0
358.8,259.7,3097.2
358.8,261.5,3081.5
358.8,263.3,3066.5
358.8,265.1,3058.2
358.8,267.1,2135.8
358.8,269.0,2072.8
358.8,270.8,2089.2
358.8,272.6,2102.5
358.8,274.4,2120.8
358.8,276.2,2147.2
358.8,278.1,2189.5
358.8,279.8,2321.5
358.8,283.3,3166.5
358.8,285.1,3179.8
358.8,286.9,3212.5
358.8,288.7,3248.2
358.8,290.5,3296.2
358.8,292.3,3328.5
358.8,294.1,3377.8
358.8,296.0,3438.0
358.8,297.8,3497.5
358.8,299.5,3477.0
358.8,301.4,3543.2
358.8,303.1,3618.8
358.8,305.0,3704.2
358.8,306.8,3696.0
358.8,308.6,3553.8
358.8,310.4,3423.8
358.8,312.2,3296.8
358.8,314.1,3189.5
358.8,315.9,3082.8
358.8,317.7,2994.0
358.8,319.5,2907.5
358.8,321.4,2827.8
358.8,323.3,2759.0
358.8,325.2,2700.0
358.8,327.0,2653.8
358.8,328.8,2603.0
358.8,330.7,2550.0
358.8,332.5,2506.0
358.8,334.3,2469.2
358.8,336.1,2436.5
358.8,338.0,2405.5
358.8,339.8,2383.8
358.8,341.6,2358.0
358.8,343.4,2332.8
358.8,345.2,2297.0
358.8,347.1,2292.2
358.8,349.0,2279.0
358.8,350.8,2266.5
358.8,352.6,2255.0
358.8,354.5,2252.5
358.8,356.3,2239.5
358.8,358.1,2241.8
358.8,360.0,2241.2
358.8,1.8,2242.8
358.8,3.6,2251.5
358.8,5.5,2256.2
358.8,7.3,2262.8
358.8,9.1,2279.0
358.8,11.0,2296.5
358.8,12.8,2318.0
358.8,14.6,2334.2
358.8,16.4,2359.5
358.8,18.3,2393.0
358.8,20.1,2424.0
358.8,21.9,2458.5
358.8,23.7,2493.0
358.8,25.6,2531.8
358.8,27.4,2571.5
358.8,29.2,2625.8
358.8,31.0,2674.5
358.8,32.8,2738.8
358.8,34.8,2793.8
358.8,36.6,2880.8
358.8,38.5,2957.5
358.8,40.3,3049.2
358.8,42.1,3138.8
358.8,43.9,3248.2
358.8,45.8,3360.8
358.8,47.6,3377.0
358.8,49.5,3287.8
358.8,51.3,3198.8
358.8,53.1,3116.2
358.8,55.0,3048.0
358.8,56.8,2986.2
358.8,58.8,3072.8
358.8,60.6,3107.8
358.8,62.5,3049.8
358.8,64.3,2987.5
358.8,66.2,2955.0
358.8,68.0,2900.0
358.8,69.8,2874.0
358.8,71.7,2852.2
358.8,73.5,2810.0
358.8,75.4,2795.5
358.8,77.2,2756.5
358.8,79.1,2747.0
358.8,81.0,2736.0
358.8,83.0,2713.2
358.8,84.8,2705.8
358.8,86.7,2715.8
358.8,88.5,2702.2
358.8,90.4,2699.0
358.8,92.2,2709.0
358.8,94.1,2710.0
358.8,96.0,2713.2
358.8,97.8,2745.5
358.6,99.7,2704.8
358.6,101.6,2675.5
358.6,103.5,2254.0
358.6,105.4,1992.0
358.6,107.2,1798.5
358.6,129.7,286.2
358.6,132.2,266.2
358.6,134.7,255.5
358.6,136.8,248.5
358.6,218.5,225.8
358.6,220.4,231.8
358.6,222.2,236.5
358.6,225.4,262.2
358.6,228.4,270.2
358.6,259.8,3079.2
358.6,261.7,3070.5
358.6,263.6,3065.0
358.6,265.4,3056.0
358.6,267.5,2135.8
358.6,269.4,2075.5
358.6,271.3,2093.8
358.6,273.1,2115.8
358.6,275.0,2135.2
358.6,276.9,2164.5
358.6,278.8,2199.0
358.6,280.6,2299.5
358.6,284.2,3178.2
358.6,286.0,3202.2
358.6,287.9,3234.2
358.6,289.8,3267.2
358.6,291.6,3312.0
358.6,293.5,3357.0
358.6,295.4,3401.5
358.6,297.2,3460.8
358.6,299.0,3484.0
358.6,300.9,3533.0
358.6,302.8,3603.0
358.6,304.6,3696.0
358.6,306.5,3734.5
358.6,308.4,3571.2
358.6,310.2,3431.2
358.6,312.1,3296.2
358.6,314.0,3190.0
358.6,315.9,3081.5
358.6,317.8,2994.2
358.6,319.6,2901.0
358.6,321.5,2827.8
358.6,323.5,2749.5
358.6,325.4,2696.5
358.6,327.3,2645.2
358.6,329.2,2588.5
358.6,331.1,2540.5
358.6,333.0,2498.0
358.6,334.9,2460.8
358.6,336.7,2429.0
358.6,338.6,2396.0
358.6,340.5,2367.2
358.6,342.4,2345.8
358.6,344.3,2320.5
358.6,346.1,2298.5
358.6,348.1,2287.5
358.6,350.0,2268.8
358.6,351.9,2259.5
358.6,353.8,2252.8
358.6,355.6,2244.2
358.6,357.5,2234.8
358.6,359.4,2239.0
358.6,1.3,2252.8
358.6,3.1,2243.8
358.6,5.0,2257.0
358.6,6.9,2263.0
358.6,8.8,2271.2
358.6,10.7,2291.5
358.6,12.6,2304.5
358.6,14.5,2331.5
358.6,16.4,2361.5
358.6,18.2,2391.8
358.6,20.1,2430.0
358.6,22.0,2462.5
358.6,23.8,2494.8
358.6,25.7,2531.2
358.6,27.6,2578.2
358.6,29.5,2640.5
358.6,31.3,2694.8
358.6,33.2,2743.8
358.6,35.2,2805.5
358.6,37.1,2888.0
358.6,39.0,2990.5
358.6,40.9,3067.0
358.6,42.7,3178.8
358.6,44.6,3291.0
358.6,46.5,3408.0
358.6,48.4,3335.2
358.6,50.3,3241.8
358.6,52.2,3166.5
358.6,54.1,3072.0
358.6,56.0,3000.8
358.6,57.9,2995.5
358.6,59.9,3058.2
358.6,61.8,3055.8
358.6,63.7,3006.0
358.6,65.6,2953.0
358.6,67.5,2919.2
358.6,69.4,2864.5
358.6,71.3,2852.5
358.6,73.2,2808.8
358.6,75.1,2794.0
358.6,77.0,2781.2
358.6,78.9,2743.0
358.6,80.8,2744.0
358.6,82.8,2717.5
358.6,84.8,2706.0
358.6,86.7,2710.2
358.6,88.6,2701.5
358.6,90.5,2697.5
358.6,92.4,2712.0
358.6,94.3,2703.0
358.6,96.2,2716.2
358.6,98.1,2738.8
358.6,100.0,2704.2
358.6,104.0,2173.0
358.6,105.9,1938.0
358.6,131.7,272.5
358.6,133.4,256.0
358.6,136.9,249.5
358.6,139.5,241.5
358.6,218.5,231.0
358.6,221.7,236.2
358.6,226.7,262.0
358.6,228.0,269.0
358.6,260.4,0.0
358.6,254.9,2374.8
358.6,258.6,3075.5
358.6,260.5,3076.5
358.6,262.5,3058.2
358.6,264.4,3053.8
358.6,266.5,2344.0
358.6,268.4,2090.2
358.6,270.3,2089.8
358.6,272.3,2109.5
358.6,274.2,2125.0
358.6,276.1,2149.0
358.6,278.0,2176.8
358.6,280.0,2225.2
358.6,281.8,2281.8
358.6,285.5,3194.8
358.6,287.4,3210.8
358.6,289.3,3255.0
358.6,291.2,3292.0
358.6,293.1,3340.8
358.6,295.1,3387.0
358.6,297.0,3452.8
358.6,298.8,3509.2
358.6,300.7,3524.2
358.6,302.6,3595.8
358.6,304.5,3688.0
358.6,306.5,3730.5
358.6,308.4,3581.8
358.6,310.3,3432.2
358.6,312.2,3300.5
358.6,314.2,3186.5
358.6,316.1,3068.8
358.6,318.0,2983.0
358.2,320.0,2887.5
358.2,321.9,2808.8
358.2,323.9,2742.8
358.2,325.9,2685.8
358.2,327.8,2624.2
358.2,329.7,2570.0
358.2,331.6,2527.0
358.2,333.6,2488.0
358.2,335.5,2456.2
358.2,337.4,2421.0
358.2,339.4,2384.2
358.2,341.3,2354.5
358.2,343.2,2328.2
358.2,345.1,2298.2
358.2,347.1,2294.5
358.2,349.1,2280.2
358.2,351.0,2268.8
358.2,352.9,2254.2
358.2,354.9,2242.8
358.2,356.8,2244.5
358.2,358.7,2238.8
358.2,0.6,2242.5
358.2,2.5,2239.8
358.2,4.5,2261.2
358.2,6.4,2262.8
358.2,8.3,2267.2
358.2,10.2,2289.0
358.2,12.2,2302.2
358.2,14.1,2329.5
358.2,16.0,2357.2
358.2,18.0,2392.5
358.2,19.9,2424.2
358.2,21.8,2457.2
358.2,23.8,2493.2
358.2,25.7,2531.0
358.2,27.6,2573.8
358.2,29.5,2629.0
358.2,31.4,2694.5
358.2,33.3,2746.2
358.2,35.4,2817.0
358.2,37.3,2905.0
358.2,39.2,2996.5
358.2,41.1,3099.5
358.2,43.1,3194.8
358.2,45.0,3301.5
358.2,46.9,3384.8
358.2,48.9,3311.5
358.2,50.8,3203.8
358.2,52.8,3123.2
358.2,54.8,3049.2
358.2,56.7,2978.5
358.2,58.7,3058.8
358.2,60.6,3096.2
358.2,62.5,3045.8
358.2,64.5,2986.5
358.2,66.5,2945.8
358.2,68.4,2894.8
358.2,70.3,2875.2
358.2,72.3,2830.8
358.2,74.2,2808.8
358.2,76.2,2762.5
358.2,78.1,2755.0
358.2,80.1,2733.5
358.2,82.0,2719.5
358.2,84.1,2719.5
358.2,86.0,2698.8
358.2,88.0,2701.8
358.2,90.0,2694.0
358.2,91.9,2701.5
358.2,93.9,2716.0
358.2,95.8,2707.2
358.2,97.8,2739.0
358.2,99.8,2699.8
358.2,103.8,2204.5
358.2,105.8,1952.5
358.2,129.3,282.0
358.2,131.6,268.8
358.2,134.7,255.5
358.2,138.0,248.8
358.2,218.2,226.0
358.2,219.0,232.8
358.2,222.1,238.8
358.2,223.9,253.8
358.2,226.0,262.5
358.2,228.1,272.0
358.2,259.6,0.0
358.2,254.2,2240.5
358.2,259.9,3080.0
358.2,261.8,3067.5
358.2,263.8,3049.8
358.2,265.8,3049.2
358.2,267.9,2136.2
358.2,269.9,2090.2
358.2,271.8,2110.2
358.2,273.8,2131.5
358.2,275.8,2150.0
358.2,277.8,2178.5
358.2,279.7,2211.0
358.2,281.6,2262.0
358.2,287.4,2690.5
358.2,289.3,3252.8
358.2,291.2,3291.0
358.2,293.2,3333.2
358.2,295.1,3395.2
358.2,297.1,3455.8
358.2,299.0,3501.5
358.2,300.9,3523.0
358.2,302.9,3606.5
358.2,304.8,3700.5
358.2,306.8,3705.5
358.2,308.8,3544.0
358.2,310.7,3395.2
358.2,312.7,3262.0
358.2,314.7,3149.8
358.2,316.6,3045.8
358.2,318.6,2959.2
358.2,320.6,2863.5
358.2,322.6,2784.8
358.2,324.6,2718.5
358.2,326.6,2661.5
358.2,328.6,2607.5
358.2,330.6,2548.5
358.2,332.5,2508.8
358.2,334.5,2469.0
358.2,336.4,2430.5
358.2,338.4,2400.8
358.2,340.4,2367.2
358.2,342.4,2345.8
358.2,344.3,2323.0
358.2,346.3,2299.0
358.2,348.3,2287.5
358.2,350.3,2263.8
358.2,352.2,2255.5
358.2,354.2,2251.8
358.2,356.2,2237.8
358.2,358.2,2242.8
358.2,0.1,2239.2
358.2,2.1,2250.5
358.2,4.1,2257.2
358.2,6.0,2259.0
358.2,8.0,2268.2
358.2,10.0,2284.8
358.2,12.0,2299.0
358.2,13.9,2322.5
358.2,15.9,2360.2
358.2,17.8,2385.2
358.2,19.8,2422.0
358.2,21.8,2453.5
358.2,23.7,2494.0
358.2,25.7,2529.0
358.2,27.6,2583.5
358.2,29.6,2634.5
358.2,31.5,2695.5
358.2,33.5,2754.2
358.2,35.6,2825.2
358.2,37.5,2912.0
358.2,39.5,3006.0
358.2,41.5,3111.5
358.2,43.4,3225.0
358.2,45.4,3325.8
358.2,47.4,3363.0
358.2,49.4,3264.0
358.2,51.3,3187.0
358.2,53.4,3103.5
358.2,55.3,3013.0
358.2,57.3,3013.0
358.2,59.3,3062.8
358.2,61.3,3067.5
358.2,63.3,3003.8
358.2,65.3,2975.0
358.2,67.3,2922.5
358.2,69.2,2876.0
358.2,71.2,2845.2
358.2,73.2,2801.2
358.2,75.2,2790.0
358.2,77.2,2758.2
358.2,79.2,2742.8
358.2,81.2,2734.0
358.2,83.3,2706.5
358.2,85.3,2714.2
358.2,87.3,2691.8
358.2,89.3,2695.5
358.2,91.3,2702.2
358.2,93.3,2695.8
358.2,95.2,2714.2
358.2,97.2,2715.0
358.2,99.2,2746.8
358.2,101.2,2704.2
358.2,103.3,2275.2
358.2,105.4,1997.8
358.2,107.3,1795.8
358.2,129.8,284.2
358.2,131.7,268.8
358.2,135.5,255.8
358.2,136.0,250.8
357.8,218.3,231.0
357.8,221.1,236.2
357.8,225.6,263.0
357.8,227.7,270.8
357.8,259.9,0.0
357.8,258.4,3072.2
357.8,260.4,3065.5
357.8,262.4,3050.2
357.8,264.3,3060.2
357.8,266.6,2154.0
357.8,268.5,2088.8
357.8,270.6,2097.2
357.8,272.5,2119.0
357.8,274.5,2142.2
357.8,276.5,2167.5
357.8,278.5,2200.2
357.8,280.5,2239.0
357.8,282.5,2289.2
357.8,290.3,3263.0
357.8,292.3,3307.8
357.8,294.3,3364.5
357.8,296.3,3423.8
357.8,298.2,3485.2
357.8,300.2,3484.0
357.8,302.2,3572.5
357.8,304.1,3662.2
357.8,306.1,3748.2
357.8,308.1,3595.8
357.8,310.1,3440.8
357.8,312.2,3298.8
357.8,314.1,3179.2
357.8,316.2,3070.0
357.8,318.2,2967.8
357.8,320.2,2884.0
357.8,322.2,2798.5
357.8,324.2,2731.5
357.8,326.3,2672.5
357.8,328.3,2615.8
357.8,330.3,2561.8
357.8,332.3,2511.8
357.8,334.3,2469.8
357.8,336.3,2433.8
357.8,338.3,2402.5
357.8,340.3,2372.5
357.8,342.3,2345.2
357.8,344.3,2319.8
357.8,346.3,2291.0
357.8,348.4,2284.5
357.8,350.4,2261.5
357.8,352.4,2257.8
357.8,354.4,2250.2
357.8,356.4,2241.5
357.8,358.4,2240.8
357.8,0.4,2239.2
357.8,2.4,2241.2
357.8,4.4,2244.2
357.8,6.4,2258.8
357.8,8.4,2270.5
357.8,10.4,2288.5
357.8,12.4,2298.0
357.8,14.4,2331.2
357.8,16.4,2361.5
357.8,18.4,2394.8
357.8,20.4,2431.2
357.8,22.4,2467.2
357.8,24.4,2504.0
357.8,26.4,2544.5
357.8,28.4,2601.2
357.8,30.3,2655.8
357.8,32.3,2718.2
357.8,34.3,2786.5
357.8,36.4,2866.5
357.8,38.4,2953.0
357.8,40.4,3049.8
357.8,42.4,3152.2
357.8,44.4,3259.0
357.8,46.4,3400.2
357.8,48.5,3314.5
357.8,50.5,3220.0
357.8,52.5,3121.8
357.8,54.5,3039.5
357.8,56.5,2961.8
357.8,58.6,3058.0
357.8,60.6,3067.0
357.8,62.6,3040.5
357.8,64.6,2964.0
357.8,66.6,2923.5
357.8,68.7,2882.0
357.8,70.7,2840.5
357.8,72.7,2829.5
357.8,74.7,2788.0
357.8,76.7,2766.5
357.8,78.8,2737.5
357.8,80.8,2732.5
357.8,82.9,2702.2
357.8,85.0,2699.8
357.8,87.0,2698.8
357.8,89.0,2689.5
357.8,91.0,2698.2
357.8,93.1,2693.0
357.8,95.1,2709.0
357.8,97.1,2714.2
357.8,99.1,2743.2
357.8,101.1,2704.0
357.8,103.3,2289.5
357.8,105.4,1997.8
357.8,107.4,1797.2
357.8,125.1,310.8
357.8,129.7,280.2
357.8,132.0,268.2
357.8,135.4,255.8
357.8,137.7,243.2
357.8,218.7,231.5
357.8,221.5,236.8
357.8,225.2,256.8
357.8,227.5,269.5
357.8,260.1,0.0
357.8,258.7,3063.8
357.8,260.7,3067.0
357.8,262.7,3058.8
357.8,264.8,3048.0
357.8,267.0,2142.8
357.8,269.0,2092.2
357.8,271.0,2113.0
357.8,273.0,2132.2
357.8,275.1,2162.2
357.8,277.1,2178.8
357.8,279.1,2218.2
357.8,281.1,2258.2
357.8,283.2,2319.2
357.8,291.1,3285.8
357.8,293.1,3320.0
357.8,295.1,3377.0
357.8,297.1,3447.8
357.8,299.1,3476.5
357.8,301.1,3514.0
357.8,303.1,3607.2
357.8,305.1,3702.5
357.8,307.2,3675.2
357.8,309.2,3509.8
357.8,311.2,3361.8
357.8,313.3,3233.0
357.8,315.3,3111.0
357.8,317.3,3007.8
357.8,319.4,2916.5
357.8,321.4,2834.5
357.8,323.5,2751.5
357.8,325.6,2690.2
357.8,327.6,2629.8
357.8,329.7,2576.5
357.8,331.7,2524.5
357.8,333.7,2476.8
357.8,335.8,2443.5
357.8,337.8,2403.0
357.8,339.9,2378.8
357.8,341.9,2346.5
357.8,343.9,2321.5
357.8,345.9,2299.8
357.8,348.0,2288.0
357.8,350.1,2269.5
357.8,352.1,2260.2
357.8,354.2,2242.0
357.8,356.2,2238.5
357.8,358.2,2240.0
357.8,0.2,2240.5
357.8,2.3,2250.2
357.8,4.3,2254.5
357.8,6.3,2259.5
357.8,8.4,2279.0
357.8,10.4,2285.2
357.8,12.4,2297.5
357.8,14.5,2333.5
357.8,16.5,2364.0
357.4,18.6,2399.8
357.4,20.6,2433.5
357.4,22.6,2466.2
357.4,24.6,2507.2
357.4,26.6,2553.5
357.4,28.7,2608.2
357.4,30.7,2665.5
357.4,32.7,2732.2
357.4,34.8,2801.0
357.4,36.9,2888.8
357.4,38.9,2986.2
357.4,40.9,3074.2
357.4,43.0,3186.0
357.4,45.0,3306.2
357.4,47.1,3374.2
357.4,49.1,3289.5
357.4,51.2,3190.5
357.4,53.2,3081.5
357.4,55.3,2997.2
357.4,57.3,3007.2
357.4,59.4,3053.5
357.4,61.4,3062.5
357.4,63.5,2994.0
357.4,65.6,2937.0
357.4,67.6,2910.8
357.4,69.7,2858.0
357.4,71.8,2821.0
357.4,73.8,2793.2
357.4,75.8,2769.5
357.4,77.9,2751.5
357.4,79.9,2731.5
357.4,82.0,2703.2
357.4,84.2,2702.5
357.4,86.2,2691.0
357.4,88.3,2699.0
357.4,90.4,2683.5
357.4,92.5,2700.0
357.4,94.5,2693.0
357.4,96.6,2721.2
357.4,98.6,2716.0
357.4,100.7,2699.8
357.4,102.8,2359.0
357.4,105.0,2048.8
357.4,107.0,1820.2
357.4,125.6,310.5
357.4,130.1,276.5
357.4,132.2,268.2
357.4,134.6,255.5
357.4,137.2,244.2
357.4,218.1,228.8
357.4,220.0,232.8
357.4,226.9,268.8
357.4,260.5,0.0
357.4,259.1,3046.8
357.4,261.2,3018.2
357.4,263.3,3002.0
357.4,265.3,3003.8
357.4,267.6,2152.5
357.4,269.7,2107.0
357.4,271.7,2121.2
357.4,273.8,2149.5
357.4,275.9,2172.8
357.4,277.9,2196.8
357.4,280.0,2232.8
357.4,282.0,2282.2
357.4,292.2,3296.8
357.4,294.2,3354.2
357.4,296.3,3421.0
357.4,298.3,3500.5
357.4,300.4,3477.5
357.4,302.4,3562.2
357.4,304.4,3670.2
357.4,306.5,3738.5
357.4,308.6,3555.5
357.4,310.6,3402.5
357.4,312.7,3267.8
357.4,314.8,3138.2
357.4,316.9,3030.8
357.4,319.0,2942.0
357.4,321.0,2844.2
357.4,323.2,2760.5
357.4,325.3,2697.2
357.4,327.3,2643.2
357.4,329.4,2582.8
357.4,331.5,2529.2
357.4,333.6,2488.0
357.4,335.7,2441.8
357.4,337.7,2415.8
357.4,339.8,2384.8
357.4,341.9,2351.5
357.4,344.0,2324.0
357.4,346.0,2299.8
357.4,348.2,2284.2
357.4,350.2,2266.0
357.4,352.3,2245.2
357.4,354.4,2253.0
357.4,356.4,2240.5
357.4,358.5,2236.8
357.4,0.6,2240.2
357.4,2.7,2244.2
357.4,4.7,2255.5
357.4,6.8,2263.5
357.4,8.9,2280.8
357.4,11.0,2293.5
357.4,13.0,2316.0
357.4,15.1,2347.0
357.4,17.2,2383.0
357.4,19.2,2416.2
357.4,21.3,2444.0
357.4,23.4,2486.5
357.4,25.4,2525.5
357.4,27.5,2575.2
357.4,29.5,2631.8
357.4,31.6,2693.8
357.4,33.7,2756.2
357.4,35.9,2847.8
357.4,37.9,2938.2
357.4,40.0,3027.0
357.4,42.0,3137.0
357.4,44.1,3255.5
357.4,46.2,3387.0
357.4,48.3,3318.2
357.4,50.4,3200.8
357.4,52.4,3113.5
357.4,54.5,3024.5
357.4,56.6,2958.5
357.4,58.8,3061.5
357.4,60.8,3060.5
357.4,62.9,3004.2
357.4,65.0,2958.8
357.4,67.1,2906.2
357.4,69.2,2855.8
357.4,71.3,2839.0
357.4,73.4,2790.0
357.4,75.5,2784.8
357.4,77.6,2744.0
357.4,79.7,2736.0
357.4,81.8,2710.8
357.4,84.0,2713.2
357.4,86.1,2686.8
357.4,88.2,2700.5
357.4,90.3,2686.8
357.4,92.4,2703.0
357.4,94.5,2692.8
357.4,96.6,2717.0
357.4,98.7,2713.5
357.4,100.8,2700.0
357.4,102.9,2345.0
357.4,105.1,2033.2
357.4,107.1,1811.0
357.4,130.4,276.5
357.4,132.5,263.5
357.4,135.0,255.5
357.4,137.2,241.0
357.4,217.8,228.5
357.4,220.2,232.5
357.4,227.8,269.0
357.4,259.0,0.0
357.4,253.7,2204.0
357.4,259.9,3025.8
357.4,262.0,3007.8
357.4,264.1,2994.8
357.4,266.3,2242.2
357.4,268.5,2116.0
357.4,270.5,2118.0
357.4,272.6,2142.0
357.4,274.8,2173.8
357.4,276.9,2180.8
357.4,279.0,2221.8
357.4,281.0,2260.0
357.4,283.1,2317.0
357.4,293.5,3326.2
357.4,295.5,3384.2
357.4,297.6,3452.8
357.4,299.6,3455.8
357.4,301.7,3537.2
357.4,303.8,3626.0
357.4,305.9,3741.5
357.4,308.0,3598.8
357.4,310.1,3439.8
357.4,312.2,3298.2
357.4,314.3,3172.0
357.4,316.5,3054.2
357.4,318.5,2953.5
357.4,320.7,2854.2
357.4,322.9,2775.8
357.4,325.0,2704.0
357.2,327.1,2646.8
357.2,329.2,2588.5
357.2,331.3,2536.8
357.2,333.4,2497.2
357.2,335.5,2455.5
357.2,337.7,2416.8
357.2,339.8,2381.2
357.2,341.8,2352.8
357.2,344.0,2322.0
357.2,346.1,2301.2
357.2,348.2,2285.5
357.2,350.3,2267.5
357.2,352.5,2256.8
357.2,354.5,2252.0
357.2,356.7,2238.8
357.2,358.8,2239.5
357.2,0.9,2242.2
357.2,3.0,2243.8
357.2,5.1,2246.8
357.2,7.2,2263.2
357.2,9.3,2282.0
357.2,11.4,2297.2
357.2,13.5,2322.5
357.2,15.6,2354.2
357.2,17.7,2386.0
357.2,19.8,2422.5
357.2,21.9,2457.8
357.2,24.0,2498.0
357.2,26.1,2537.8
357.2,28.2,2592.5
357.2,30.3,2658.0
357.2,32.3,2716.8
357.2,34.6,2789.5
357.2,36.6,2879.2
357.2,38.7,2972.5
357.2,40.8,3077.0
357.2,42.9,3189.5
357.2,45.0,3312.5
357.2,47.2,3373.8
357.2,49.3,3260.5
357.2,51.4,3167.0
357.2,53.5,3073.8
357.2,55.6,2986.2
357.2,57.8,2981.5
357.2,59.9,3029.2
357.2,62.0,3011.8
357.2,64.2,2960.2
357.2,66.3,2932.5
357.2,68.4,2878.0
357.2,70.6,2837.2
357.2,72.7,2810.0
357.2,74.8,2775.2
357.2,76.9,2755.8
357.2,79.0,2730.8
357.2,81.2,2715.8
357.2,83.4,2693.0
357.2,85.5,2699.8
357.2,87.7,2685.2
357.2,89.8,2693.0
357.2,92.0,2687.0
357.2,94.1,2696.5
357.2,96.2,2698.2
357.2,98.3,2710.2
357.2,100.5,2695.5
357.2,102.7,2383.0
357.2,104.9,2066.8
357.2,106.9,1830.5
357.2,130.4,277.0
357.2,133.3,267.8
357.2,136.9,253.5
357.2,137.9,241.2
357.2,218.9,232.5
357.2,222.3,238.5
357.2,227.2,266.5
357.2,229.3,276.2
357.2,258.7,0.0
357.2,253.5,2182.2
357.2,259.7,3025.8
357.2,261.9,3008.2
357.2,264.0,3000.8
357.2,266.3,2199.5
357.2,268.4,2165.5
357.2,270.5,2132.8
357.2,272.7,2146.2
357.2,274.8,2174.5
357.2,277.0,2194.2
357.2,279.1,2225.8
357.2,281.2,2262.2
357.2,291.6,3291.5
357.2,293.7,3325.2
357.2,295.9,3388.0
357.2,298.0,3455.0
357.2,300.0,3455.8
357.2,302.1,3553.8
357.2,304.3,3659.8
357.2,306.4,3739.8
357.2,308.5,3573.8
357.2,310.7,3399.2
357.2,312.8,3261.0
357.2,314.9,3135.0
357.2,317.1,3023.2
357.2,319.2,2925.8
357.2,321.4,2833.0
357.2,323.6,2750.8
357.2,325.7,2688.5
357.2,327.9,2625.2
357.2,330.0,2572.0
357.2,332.1,2511.8
357.2,334.3,2471.0
357.2,336.4,2434.5
357.2,338.6,2397.0
357.2,340.7,2368.2
357.2,342.8,2336.2
357.2,345.0,2315.0
357.2,347.1,2290.2
357.2,349.3,2281.0
357.2,351.4,2259.5
357.2,353.6,2245.8
357.2,355.7,2240.5
357.2,357.8,2240.5
357.2,360.0,2241.2
357.2,2.1,2240.5
357.2,4.2,2256.8
357.2,6.3,2260.2
357.2,8.5,2268.2
357.2,10.6,2289.5
357.2,12.7,2306.5
